,Date,Close
1066,2011-10-28,22.31
1067,2011-10-31,27.29
1068,2011-11-01,31.8
1069,2011-11-02,30.13
1070,2011-11-03,27.54
1071,2011-11-04,27.24
1072,2011-11-07,26.96
1073,2011-11-08,24.7
1074,2011-11-09,32.89
1075,2011-11-10,29.91
1076,2011-11-11,26.79
1077,2011-11-14,28.1
1078,2011-11-15,28.45
1079,2011-11-16,30.27
1080,2011-11-17,31.4
1081,2011-11-18,28.66
1082,2011-11-21,30.12
1083,2011-11-22,29.17
1084,2011-11-23,31
1085,2011-11-25,21.29
1086,2011-11-28,29.16
1087,2011-11-29,28.02
1088,2011-11-30,25.16
1089,2011-12-01,25.06
1090,2011-12-02,25.17
1091,2011-12-05,25.52
1092,2011-12-06,25.74
1093,2011-12-07,26.19
1094,2011-12-08,27.57
1095,2011-12-09,24.17
1096,2011-12-12,23.46
1097,2011-12-13,23.23
1098,2011-12-14,24.12
1099,2011-12-15,22.35
1100,2011-12-16,22.23
1101,2011-12-19,22.65
1102,2011-12-20,20.55
1103,2011-12-21,19.59
1104,2011-12-22,19.45
1105,2011-12-23,18.85
1106,2011-12-27,20.05
1107,2011-12-28,21.57
1108,2011-12-29,20.73
1109,2011-12-30,21.42
1110,2012-01-03,20.89
1111,2012-01-04,20.1
1112,2012-01-05,19.75
1113,2012-01-06,19.18
1114,2012-01-09,19.45
1115,2012-01-10,19.32
1116,2012-01-11,19.5
1117,2012-01-12,19.04
1118,2012-01-13,19.32
1119,2012-01-17,20.16
1120,2012-01-18,19.18
1121,2012-01-19,18.16
1122,2012-01-20,16.05
1123,2012-01-23,16.71
1124,2012-01-24,16.96
1125,2012-01-25,16.41
1126,2012-01-26,16.58
1127,2012-01-27,16.65
1128,2012-01-30,17.68
1129,2012-01-31,17.63
1130,2012-02-01,16.85
1131,2012-02-02,16.61
1132,2012-02-03,15.62
1133,2012-02-06,16.2
1134,2012-02-07,16.12
1135,2012-02-08,16.44
1136,2012-02-09,17.12
1137,2012-02-10,18.64
1138,2012-02-13,17.25
1139,2012-02-14,17.79
1140,2012-02-15,19.15
1141,2012-02-16,17.59
1142,2012-02-17,16.22
1143,2012-02-21,16.76
1144,2012-02-22,16.62
1145,2012-02-23,15.49
1146,2012-02-24,15.74
1147,2012-02-27,16.49
1148,2012-02-28,16.67
